Serial No,Vehicle Class,Total
1,Adapted Vehicle,667.00
2,Agricultural Tractor,"33,527.00"
3,Ambulance,816.00
4,Animal Ambulance,2.00
5,Articulated Vehicle,925.00
6,Bus,"1,013.00"
7,Camper Van / Trailer,30.00
8,Camper Van / Trailer_x000D_(Private Use),30.00
9,Cash Van,53.00
10,Construction Equipment_x000D_Vehicle,"2,219.00"
11,Construction Equipment_x000D_Vehicle (Commercial),182.00
12,Crane Mounted Vehicle,435.00
13,Dumper,705.00
14,Earth Moving Equipment,926.00
15,Educational Institution Bus,83.00
16,e-Rickshaw(P),"6,823.00"
17,e-Rickshaw with Cart (G),744.00
18,Excavator (Commercial),286.00
19,Excavator (NT),251.00
20,Fire Fighting Vehicle,42.00
21,Fire Tenders,12.00
22,Fork Lift,105.00
23,Goods Carrier,"44,674.00"
24,Harvester,646.00
25,Hearses,7.00
26,Luxury Cab,68.00
27,Maxi Cab,360.00
28,M-Cycle/Scooter,"8,30,083.00"
29,M-Cycle/Scooter-With Side_x000D_Car,821.00
30,Mobile Canteen,3.00
31,Mobile Clinic,5.00
32,Mobile Workshop,6.00
33,Moped,"22,625.00"
34,Motor Cab,"3,408.00"
35,Motor Car,"2,05,605.00"
36,Motor Cycle/Scooter-_x000D_SideCar(T),17.00
37,Motor Cycle/Scooter-Used_x000D_For Hire,365.00
38,Motorised Cycle (CC >_x000D_25cc),"11,615.00"
39,Omni Bus,38.00
40,Omni Bus (Private Use),267.00
41,Private Service Vehicle,114.00
42,Private Service Vehicle_x000D_(Individual Use),91.00
43,Recovery Vehicle,6.00
44,Road Roller,8.00
45,Snorked Ladders,3.00
46,Three Wheeler (Goods),"4,656.00"
47,Three Wheeler (Passenger),"9,379.00"
48,Three Wheeler (Personal),37.00
49,Tower Wagon,4.00
50,Tow Truck,7.00
51,Tractor (Commercial),"4,115.00"
52,Tractor-_x000D_Trolley(Commercial),133.00
53,Trailer (Agricultural),"2,482.00"
54,Trailer (Commercial),"1,037.00"
55,Vehicle Fitted With_x000D_Compressor,16.00
56,Vehicle Fitted With_x000D_Generator,2.00
57,Vehicle Fitted With Rig,15.00
